age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
25-29,Male,France,Doctoral degree,Research Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,5-10 years
22-24,Female,Ireland,Masters degree,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,1-2 years
35-39,Male,United States of America,Bachelors degree,Other,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",basic,5-10 years
25-29,Male,India,Masters degree,Business Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),$0-999,basic,< 1 years
40-44,Male,Russia,Masters degree,Software Engineer,50-249 employees,No (we do not use ML methods),"10,000-14,999",advance,1-2 years
25-29,Male,Greece,Masters degree,Research Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",intermediate,5-10 years
30-34,Male,Greece,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),"20,000-24,999",advance,1-2 years
35-39,Male,India,Masters degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,10-20 years
25-29,Male,United States of America,Doctoral degree,Student,,,,advance,1-2 years
30-34,Female,Ukraine,Doctoral degree,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),$0-999,advance,3-5 years
25-29,Female,Pakistan,Masters degree,Research Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,1-2 years
30-34,Male,Japan,Masters degree,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,1-2 years
30-34,Male,Japan,Masters degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",advance,5-10 years
25-29,Female,Other,Masters degree,Data Analyst,"1000-9,999 employees",No (we do not use ML methods),$0-999,basic,1-2 years
30-34,Female,United States of America,Masters degree,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years
22-24,Male,Brazil,Bachelors degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years
25-29,Male,India,Bachelors degree,Other,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999",advance,3-5 years
35-39,Male,South Korea,Masters degree,Data Analyst,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years
25-29,Male,Brazil,Masters degree,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",intermediate,3-5 years
35-39,Male,France,Masters degree,Data Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",intermediate,< 1 years
30-34,Female,United States of America,Doctoral degree,Product/Project Manager,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,10-20 years
25-29,Male,India,Bachelors degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",intermediate,1-2 years
22-24,Male,India,Masters degree,Student,,,,basic,< 1 years
22-24,Male,India,Masters degree,Student,,,,intermediate,< 1 years
35-39,Male,Belarus,Masters degree,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"3,000-3,999",advance,1-2 years
25-29,Male,India,Bachelors degree,DBA/Database Engineer,50-249 employees,No (we do not use ML methods),"2,000-2,999",intermediate,3-5 years
22-24,Male,India,Bachelors degree,Software Engineer,50-249 employees,No (we do not use ML methods),"10,000-14,999",intermediate,1-2 years
25-29,Male,India,Masters degree,Data Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,3-5 years
25-29,Male,Nigeria,Masters degree,Data Analyst,50-249 employees,No (we do not use ML methods),$0-999,intermediate,< 1 years
35-39,Female,United Kingdom of Great Britain and Northern Ireland,Bachelors degree,Software Engineer,0-49 employees,No (we do not use ML methods),"40,000-49,999",basic,5-10 years
30-34,Male,Sweden,Masters degree,Data Analyst,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
35-39,Male,United States of America,Bachelors degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years
25-29,Male,India,Bachelors degree,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999",advance,3-5 years
18-21,Male,India,Professional Course,Student,,,,advance,1-2 years
30-34,Male,Germany,Masters degree,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",advance,1-2 years
25-29,Male,Germany,Bachelors degree,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,3-5 years
25-29,Male,India,Professional Course,Data Analyst,"> 10,000 employees",No (we do not use ML methods),$0-999,advance,< 1 years
45-49,Female,India,Doctoral degree,Data Analyst,50-249 employees,No (we do not use ML methods),"2,000-2,999",advance,3-5 years
40-44,Male,India,Masters degree,Other,"> 10,000 employees",I do not know,"1,000-1,999",advance,< 1 years
30-34,Male,United States of America,Masters degree,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"150,000-199,999",basic,3-5 years
22-24,Female,India,Professional Course,Student,,,,advance,< 1 years
35-39,Male,Mexico,Masters degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
30-34,Male,United States of America,Bachelors degree,Data Analyst,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,3-5 years
25-29,Female,United States of America,Doctoral degree,Student,,,,advance,5-10 years
22-24,Male,France,Masters degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",intermediate,1-2 years
35-39,Other,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
40-44,Male,Other,Masters degree,Other,"1000-9,999 employees",No (we do not use ML methods),"15,000-19,999",advance,3-5 years
25-29,Other,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,5-10 years
18-21,Male,Russia,Bachelors degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years
22-24,Male,India,Bachelors degree,Software Engineer,"1000-9,999 employees",I do not know,"15,000-19,999",intermediate,1-2 years
22-24,Male,India,Masters degree,Student,,,,advance,1-2 years
30-34,Male,India,Bachelors degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,3-5 years
22-24,Male,Australia,Masters degree,Software Engineer,50-249 employees,No (we do not use ML methods),"50,000-59,999",advance,1-2 years
18-21,Male,India,Professional Course,Student,,,,basic,I have never written code
18-21,Male,Brazil,Bachelors degree,Student,,,,advance,1-2 years
30-34,Female,India,Masters degree,Other,0-49 employees,I do not know,$0-999,advance,< 1 years
22-24,Male,India,Bachelors degree,Student,,,,basic,1-2 years
35-39,Male,Japan,Doctoral degree,Research Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,1-2 years
35-39,Male,Canada,Doctoral degree,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,10-20 years
18-21,Male,India,Professional Course,Student,,,,basic,< 1 years
30-34,Male,United States of America,Masters degree,Data Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),,intermediate,
30-34,Male,Portugal,Doctoral degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",intermediate,5-10 years
25-29,Male,United States of America,Masters degree,Data Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,1-2 years
25-29,Male,Russia,Bachelors degree,Software Engineer,50-249 employees,No (we do not use ML methods),"1,000-1,999",basic,1-2 years
22-24,Female,India,Bachelors degree,Student,,,,basic,I have never written code
30-34,Male,Canada,Masters degree,Business Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,3-5 years
30-34,Female,United States of America,Masters degree,Data Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years
22-24,Male,France,Masters degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
22-24,Male,United States of America,Masters degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,< 1 years
30-34,Male,Canada,Doctoral degree,Research Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,5-10 years
25-29,Male,Poland,Masters degree,Research Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,5-10 years
22-24,Male,Indonesia,Masters degree,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,1-2 years
35-39,Male,Netherlands,Professional Course,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,1-2 years
30-34,Male,Italy,Professional Course,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,1-2 years
45-49,Male,France,Masters degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",intermediate,< 1 years
22-24,Male,India,Bachelors degree,Software Engineer,"> 10,000 employees",I do not know,"4,000-4,999",advance,3-5 years
22-24,Male,Brazil,Bachelors degree,Business Analyst,50-249 employees,No (we do not use ML methods),"10,000-14,999",intermediate,1-2 years
30-34,Male,United States of America,Masters degree,Business Analyst,0-49 employees,No (we do not use ML methods),"50,000-59,999",advance,1-2 years
30-34,Male,India,Bachelors degree,Business Analyst,50-249 employees,I do not know,"10,000-14,999",advance,1-2 years
25-29,Male,Czech Republic,Masters degree,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,1-2 years
35-39,Other,United States of America,Masters degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"200,000-249,999",advance,3-5 years
18-21,Male,India,Professional Course,Student,,,,advance,< 1 years
25-29,Female,Other,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years
22-24,Male,Pakistan,Bachelors degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",advance,< 1 years
50-54,Male,United Kingdom of Great Britain and Northern Ireland,Masters degree,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,10-20 years
30-34,Male,United States of America,Masters degree,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,3-5 years
30-34,Male,Spain,Doctoral degree,Student,,,,advance,1-2 years
25-29,Male,United States of America,Doctoral degree,Student,,,,intermediate,1-2 years
30-34,Female,United States of America,Masters degree,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,10-20 years
18-21,Male,India,Bachelors degree,Student,,,,advance,< 1 years
35-39,Male,Sweden,Doctoral degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,5-10 years
25-29,Male,United States of America,Masters degree,Data Analyst,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",intermediate,3-5 years
25-29,Female,Morocco,Masters degree,Student,,,,advance,< 1 years
25-29,Male,India,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,3-5 years
45-49,Male,India,Professional Course,Other,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",basic,1-2 years
25-29,Male,Spain,Masters degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,3-5 years
18-21,Male,India,Bachelors degree,Student,,,,basic,I have never written code
22-24,Male,Greece,Masters degree,Student,,,,advance,< 1 years
35-39,Male,Russia,Professional Course,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,10-20 years
22-24,Male,United States of America,Bachelors degree,Data Analyst,0-49 employees,No (we do not use ML methods),"60,000-69,999",basic,I have never written code
25-29,Other,Other,Doctoral degree,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,1-2 years
40-44,Male,India,Masters degree,Data Engineer,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"> $500,000",advance,5-10 years
25-29,Male,United States of America,Masters degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",advance,3-5 years
25-29,Male,India,Doctoral degree,Student,,,,advance,< 1 years
30-34,Male,United States of America,Doctoral degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years
22-24,Male,Pakistan,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,1-2 years
25-29,Male,Chile,Masters degree,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,3-5 years
25-29,Male,Other,Professional Course,Student,,,,advance,< 1 years
22-24,Male,India,Bachelors degree,Student,,,,advance,1-2 years
22-24,Male,India,Bachelors degree,Student,,,,advance,1-2 years
22-24,Male,France,Masters degree,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years
18-21,Female,India,Bachelors degree,Software Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",advance,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,intermediate,1-2 years
45-49,Male,Hong Kong (S.A.R.),Professional Course,Data Analyst,"> 10,000 employees",No (we do not use ML methods),"300,000-500,000",advance,3-5 years
30-34,Female,Mexico,Masters degree,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",advance,1-2 years
25-29,Male,India,Masters degree,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",basic,3-5 years
50-54,Male,Spain,Doctoral degree,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,20+ years
18-21,Female,India,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","4,000-4,999",advance,3-5 years
22-24,Male,India,Bachelors degree,Student,,,,advance,< 1 years
25-29,Male,South Africa,Bachelors degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,1-2 years
30-34,Male,Hungary,Doctoral degree,Student,,,,advance,3-5 years
30-34,Male,France,Doctoral degree,Research Scientist,250-999 employees,No (we do not use ML methods),"20,000-24,999",advance,I have never written code
40-44,Male,India,Masters degree,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",intermediate,3-5 years
60-69,Male,United States of America,Masters degree,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"100,000-124,999",intermediate,20+ years
45-49,Female,Argentina,Professional Course,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"15,000-19,999",advance,5-10 years
25-29,Male,Turkey,Doctoral degree,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",intermediate,5-10 years
55-59,Male,United States of America,Bachelors degree,Software Engineer,"> 10,000 employees",I do not know,"150,000-199,999",basic,10-20 years
30-34,Male,Ireland,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,1-2 years
22-24,Male,Russia,Masters degree,Student,,,,advance,< 1 years
18-21,Male,India,Bachelors degree,Student,,,,advance,1-2 years
55-59,Male,France,Masters degree,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"125,000-149,999",intermediate,3-5 years
30-34,Male,Singapore,Professional Course,Other,,,,intermediate,
25-29,Male,India,Masters degree,Business Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,intermediate,3-5 years
35-39,Male,Portugal,Masters degree,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,5-10 years
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors degree,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,3-5 years
22-24,Male,India,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,1-2 years
45-49,Female,United States of America,Masters degree,Statistician,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999",advance,10-20 years
22-24,Male,Pakistan,Bachelors degree,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",advance,3-5 years
30-34,Male,United States of America,Professional Course,Data Analyst,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,3-5 years
40-44,Male,Brazil,Professional Course,Statistician,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,5-10 years
35-39,Male,Israel,Bachelors degree,Other,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",intermediate,10-20 years
35-39,Male,Russia,Bachelors degree,Software Engineer,0-49 employees,No (we do not use ML methods),"30,000-39,999",basic,< 1 years
30-34,Male,Nigeria,Bachelors degree,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"5,000-7,499",advance,< 1 years
35-39,Female,India,Masters degree,Student,,,,advance,10-20 years
18-21,Male,India,Bachelors degree,Student,,,,advance,< 1 years
18-21,Male,India,Bachelors degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",intermediate,3-5 years
25-29,Male,Japan,Bachelors degree,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"3,000-3,999",advance,1-2 years
35-39,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
35-39,Male,Other,Masters degree,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
35-39,Male,Italy,Doctoral degree,Other,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,10-20 years
30-34,Female,Italy,Masters degree,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,3-5 years
18-21,Female,India,Bachelors degree,Student,,,,basic,3-5 years
18-21,Male,India,Bachelors degree,Student,,,,basic,1-2 years
25-29,Male,France,Masters degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,3-5 years
18-21,Male,India,Masters degree,Student,,,,advance,< 1 years
30-34,Male,Ukraine,Bachelors degree,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",basic,3-5 years
22-24,Male,India,Masters degree,Student,,,,advance,< 1 years
25-29,Male,India,Masters degree,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,1-2 years
25-29,Male,Japan,Masters degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",advance,1-2 years
45-49,Male,Italy,Professional Course,Student,,,,advance,< 1 years
35-39,Male,Russia,Professional Course,Product/Project Manager,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,3-5 years
35-39,Female,Taiwan,Masters degree,Product/Project Manager,50-249 employees,No (we do not use ML methods),$0-999,basic,< 1 years
22-24,Female,United States of America,Bachelors degree,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years
70+,Male,Other,Doctoral degree,Research Scientist,0-49 employees,I do not know,$0-999,intermediate,3-5 years
22-24,Female,India,Professional Course,Software Engineer,0-49 employees,I do not know,"1,000-1,999",basic,< 1 years
45-49,Male,Other,Doctoral degree,Research Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,20+ years
30-34,Male,Egypt,Masters degree,Data Scientist,0-49 employees,No (we do not use ML methods),$0-999,basic,1-2 years
25-29,Male,Brazil,Masters degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,3-5 years
22-24,Male,Brazil,Bachelors degree,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,1-2 years
30-34,Male,Russia,Doctoral degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",advance,5-10 years
40-44,Male,United States of America,Masters degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,20+ years
35-39,Male,India,Masters degree,Software Engineer,"> 10,000 employees",I do not know,"15,000-19,999",basic,I have never written code
50-54,Female,Brazil,Doctoral degree,Product/Project Manager,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",basic,20+ years
22-24,Female,Other,Masters degree,Student,,,,advance,< 1 years
25-29,Female,Ukraine,Bachelors degree,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,< 1 years
30-34,Male,Brazil,Professional Course,Student,,,,intermediate,< 1 years
18-21,Male,India,Masters degree,Student,,,,advance,1-2 years
22-24,Male,Bangladesh,Bachelors degree,Student,,,,advance,1-2 years
25-29,Female,United States of America,Masters degree,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,5-10 years
25-29,Male,Morocco,Doctoral degree,Statistician,"> 10,000 employees",I do not know,$0-999,advance,3-5 years
25-29,Male,Canada,Masters degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,5-10 years
30-34,Female,United States of America,Doctoral degree,Student,,,,advance,1-2 years
25-29,Female,Canada,Masters degree,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years
22-24,Male,United States of America,Masters degree,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",basic,< 1 years
25-29,Female,United States of America,Doctoral degree,Student,,,,intermediate,3-5 years
25-29,Male,Brazil,Bachelors degree,Other,"1000-9,999 employees",No (we do not use ML methods),"10,000-14,999",advance,3-5 years
55-59,Male,United States of America,Doctoral degree,Other,"1000-9,999 employees",No (we do not use ML methods),"10,000-14,999",advance,3-5 years
25-29,Male,Hungary,Professional Course,Data Analyst,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",basic,3-5 years
25-29,Male,Belarus,Doctoral degree,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",advance,5-10 years
22-24,Male,Spain,Masters degree,Data Analyst,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,3-5 years
22-24,Male,United States of America,Bachelors degree,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",basic,1-2 years
22-24,Male,India,Masters degree,Student,,,,basic,1-2 years
22-24,Female,India,Masters degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,5-10 years
18-21,Male,Canada,Bachelors degree,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years
18-21,Female,Nigeria,Bachelors degree,Student,,,,advance,1-2 years
25-29,Male,India,Masters degree,Business Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years
25-29,Male,South Korea,Bachelors degree,Student,,,,advance,< 1 years
40-44,Male,India,Masters degree,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,3-5 years
22-24,Female,Other,Bachelors degree,Student,,,,advance,< 1 years
35-39,Male,France,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,3-5 years
30-34,Male,Other,Doctoral degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,1-2 years
30-34,Male,Colombia,Doctoral degree,Research Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,10-20 years
30-34,Male,Brazil,Bachelors degree,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,< 1 years
40-44,Male,Germany,Doctoral degree,Research Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,5-10 years
