age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml,viz_frameworks,ml_frameworks
30-34,Male,Germany,Masters,Statistician,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",basic,5-10 years, Matplotlib ,  Scikit-learn 
30-34,Male,Germany,Bachelors,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,5-10 years, Ggplot / ggplot2 ," Keras , Caret "
30-34,Male,United States of America,Masters,Product/Project Manager,"> 10,000 employees",I do not know,"90,000-99,999",basic,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest"
25-29,Male,India,Bachelors,Other,"1000-9,999 employees",,,intermediate,,,
50-54,Female,United States of America,Masters,Data Analyst,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",basic,10-20 years," Ggplot / ggplot2 , Matplotlib , Seaborn ",  Scikit-learn 
18-21,Male,Australia,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,intermediate,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , PyTorch "
18-21,Male,India,Coursework,Student,,,,advance,1-2 years," Matplotlib , D3.js , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
35-39,Male,France,Masters,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,intermediate,3-5 years," Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Spark MLib "
25-29,Male,France,Doctoral,Research Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,5-10 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , Caret "
22-24,Female,Ireland,Masters,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest"
35-39,Male,United States of America,Bachelors,Other,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",basic,5-10 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
25-29,Male,India,Masters,Business Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),$0-999,basic,< 1 years," Matplotlib , Seaborn ",  Scikit-learn 
40-44,Male,Russia,Masters,Software Engineer,50-249 employees,No (we do not use ML methods),"10,000-14,999",advance,1-2 years," Matplotlib , D3.js , Seaborn ","  TensorFlow , Keras , Xgboost , PyTorch , Spark MLib "
25-29,Male,Greece,Masters,Research Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",intermediate,5-10 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
30-34,Male,Greece,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),"20,000-24,999",advance,1-2 years," Matplotlib , D3.js , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
35-39,Male,India,Masters,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,10-20 years," Matplotlib , D3.js ","  Scikit-learn ,  TensorFlow , Xgboost "
25-29,Male,United States of America,Doctoral,Student,,,,advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , PyTorch "
30-34,Female,Ukraine,Doctoral,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),$0-999,advance,3-5 years, Ggplot / ggplot2 ,
25-29,Female,Pakistan,Masters,Research Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,1-2 years, Matplotlib ,  Scikit-learn 
30-34,Male,Japan,Masters,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch , LightGBM "
30-34,Male,Japan,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",advance,5-10 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch "
25-29,Female,Other,Masters,Data Analyst,"1000-9,999 employees",No (we do not use ML methods),$0-999,basic,1-2 years," Ggplot / ggplot2 , Matplotlib , Shiny ",
30-34,Female,United States of America,Masters,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years," Matplotlib , Seaborn , Geoplotlib ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, PyTorch "
22-24,Male,Brazil,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
25-29,Male,India,Bachelors,Other,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Shiny , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost , Caret , LightGBM "
35-39,Male,South Korea,Masters,Data Analyst,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years, Matplotlib , PyTorch 
25-29,Male,Brazil,Masters,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",intermediate,3-5 years, Ggplot / ggplot2 ," RandomForest, Xgboost "
35-39,Male,France,Masters,Data Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",intermediate,< 1 years,,
30-34,Female,United States of America,Doctoral,Product/Project Manager,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,10-20 years," Altair , Shiny , Plotly / Plotly Express ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
25-29,Male,India,Bachelors,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",intermediate,1-2 years, Matplotlib ,  Scikit-learn 
22-24,Male,India,Masters,Student,,,,basic,< 1 years, Ggplot / ggplot2 ,
22-24,Male,India,Masters,Student,,,,intermediate,< 1 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, PyTorch , Caret "
35-39,Male,Belarus,Masters,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"3,000-3,999",advance,1-2 years, Matplotlib ,"  TensorFlow , Keras "
25-29,Male,India,Bachelors,DBA/Database Engineer,50-249 employees,No (we do not use ML methods),"2,000-2,999",intermediate,3-5 years,,
22-24,Male,India,Bachelors,Software Engineer,50-249 employees,No (we do not use ML methods),"10,000-14,999",intermediate,1-2 years, Matplotlib ,"  Scikit-learn , Keras , PyTorch "
25-29,Male,India,Masters,Data Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,3-5 years,, PyTorch 
25-29,Male,Nigeria,Masters,Data Analyst,50-249 employees,No (we do not use ML methods),$0-999,intermediate,< 1 years,,  Scikit-learn 
35-39,Female,United Kingdom of Great Britain and Northern Ireland,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"40,000-49,999",basic,5-10 years," Matplotlib , Seaborn ",
30-34,Male,Sweden,Masters,Data Analyst,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , Caret , LightGBM "
35-39,Male,United States of America,Bachelors,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , Xgboost , LightGBM "
25-29,Male,India,Bachelors,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Seaborn "," Keras , RandomForest, Xgboost "
18-21,Male,India,Coursework,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
30-34,Male,Germany,Masters,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Leaflet / Folium ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
25-29,Male,Germany,Bachelors,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,3-5 years, Matplotlib ,"  Scikit-learn , Xgboost "
25-29,Male,India,Coursework,Data Analyst,"> 10,000 employees",No (we do not use ML methods),$0-999,advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest"
45-49,Female,India,Doctoral,Data Analyst,50-249 employees,No (we do not use ML methods),"2,000-2,999",advance,3-5 years, Ggplot / ggplot2 ," RandomForest, Caret "
40-44,Male,India,Masters,Other,"> 10,000 employees",I do not know,"1,000-1,999",advance,< 1 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
30-34,Male,United States of America,Masters,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"150,000-199,999",basic,3-5 years," Ggplot / ggplot2 , Plotly / Plotly Express ",  Scikit-learn 
22-24,Female,India,Coursework,Student,,,,advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest"
35-39,Male,Mexico,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , Keras "
30-34,Male,United States of America,Bachelors,Data Analyst,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , PyTorch , Spark MLib "
25-29,Female,United States of America,Doctoral,Student,,,,advance,5-10 years," Ggplot / ggplot2 , Altair , D3.js , Bokeh , Geoplotlib "," Keras , PyTorch , Caret , LightGBM "
22-24,Male,France,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",intermediate,1-2 years," Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
35-39,Other,United Kingdom of Great Britain and Northern Ireland,Doctoral,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years, Shiny , Keras 
40-44,Male,Other,Masters,Other,"1000-9,999 employees",No (we do not use ML methods),"15,000-19,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib ",  Scikit-learn 
25-29,Other,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,5-10 years," Matplotlib , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , LightGBM , Spark MLib "
18-21,Male,Russia,Bachelors,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
22-24,Male,India,Bachelors,Software Engineer,"1000-9,999 employees",I do not know,"15,000-19,999",intermediate,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
22-24,Male,India,Masters,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
30-34,Male,India,Bachelors,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,3-5 years, Matplotlib ,"  Scikit-learn ,  TensorFlow "
22-24,Male,Australia,Masters,Software Engineer,50-249 employees,No (we do not use ML methods),"50,000-59,999",advance,1-2 years," Matplotlib , D3.js ","  Scikit-learn ,  TensorFlow , Keras "
18-21,Male,India,Coursework,Student,,,,basic,I have never written code,,
18-21,Male,Brazil,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
30-34,Female,India,Masters,Other,0-49 employees,I do not know,$0-999,advance,< 1 years, Matplotlib ,  Scikit-learn 
22-24,Male,India,Bachelors,Student,,,,basic,1-2 years, Geoplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
35-39,Male,Japan,Doctoral,Research Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,1-2 years, Ggplot / ggplot2 ," RandomForest, Xgboost , Caret , LightGBM "
35-39,Male,Canada,Doctoral,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,10-20 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , Caret "
18-21,Male,India,Coursework,Student,,,,basic,< 1 years," Matplotlib , Seaborn ",  Scikit-learn 
30-34,Male,United States of America,Masters,Data Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),,intermediate,,,
30-34,Male,Portugal,Doctoral,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",intermediate,5-10 years, Ggplot / ggplot2 ," Xgboost , Caret "
25-29,Male,United States of America,Masters,Data Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,1-2 years, Matplotlib ,"  Scikit-learn , Keras , RandomForest, Caret "
25-29,Male,Russia,Bachelors,Software Engineer,50-249 employees,No (we do not use ML methods),"1,000-1,999",basic,1-2 years, Matplotlib ,
22-24,Female,India,Bachelors,Student,,,,basic,I have never written code,,
30-34,Male,Canada,Masters,Business Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,3-5 years, Ggplot / ggplot2 ," RandomForest, Caret "
30-34,Female,United States of America,Masters,Data Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years," Matplotlib , Bokeh , Seaborn ","  Scikit-learn , Keras , RandomForest, Spark MLib "
22-24,Male,France,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
22-24,Male,United States of America,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
30-34,Male,Canada,Doctoral,Research Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,5-10 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
25-29,Male,Poland,Masters,Research Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,5-10 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , PyTorch "
22-24,Male,Indonesia,Masters,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,1-2 years," Matplotlib , Bokeh , Seaborn ",  Scikit-learn 
35-39,Male,Netherlands,Coursework,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,1-2 years, Ggplot / ggplot2 ," RandomForest, Caret "
30-34,Male,Italy,Coursework,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
45-49,Male,France,Masters,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",intermediate,< 1 years, Matplotlib ,"  Scikit-learn , Keras , RandomForest"
22-24,Male,India,Bachelors,Software Engineer,"> 10,000 employees",I do not know,"4,000-4,999",advance,3-5 years," Matplotlib , Seaborn ",  Scikit-learn 
22-24,Male,Brazil,Bachelors,Business Analyst,50-249 employees,No (we do not use ML methods),"10,000-14,999",intermediate,1-2 years, Matplotlib ,  Scikit-learn 
30-34,Male,United States of America,Masters,Business Analyst,0-49 employees,No (we do not use ML methods),"50,000-59,999",advance,1-2 years," Matplotlib , Seaborn ",  Scikit-learn 
30-34,Male,India,Bachelors,Business Analyst,50-249 employees,I do not know,"10,000-14,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  TensorFlow , Keras "
25-29,Male,Czech Republic,Masters,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,1-2 years," Matplotlib , Bokeh ", Xgboost 
35-39,Other,United States of America,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"200,000-249,999",advance,3-5 years, Matplotlib ,"  Scikit-learn ,  TensorFlow "
18-21,Male,India,Coursework,Student,,,,advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
25-29,Female,Other,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years," Matplotlib , Geoplotlib ","  TensorFlow , Keras "
22-24,Male,Pakistan,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",advance,< 1 years," Matplotlib , Plotly / Plotly Express , Geoplotlib ","  Scikit-learn ,  TensorFlow , PyTorch "
50-54,Male,United Kingdom of Great Britain and Northern Ireland,Masters,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,10-20 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn , Caret "
30-34,Male,United States of America,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost "
30-34,Male,Spain,Doctoral,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
25-29,Male,United States of America,Doctoral,Student,,,,intermediate,1-2 years, Matplotlib ,"  Scikit-learn , PyTorch "
30-34,Female,United States of America,Masters,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,10-20 years," Matplotlib , Bokeh ",  Scikit-learn 
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
35-39,Male,Sweden,Doctoral,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,5-10 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
25-29,Male,United States of America,Masters,Data Analyst,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",intermediate,3-5 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ",
25-29,Female,Morocco,Masters,Student,,,,advance,< 1 years, Ggplot / ggplot2 , Keras 
25-29,Male,India,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
45-49,Male,India,Coursework,Other,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",basic,1-2 years, Seaborn ,"  Scikit-learn , Xgboost , LightGBM "
25-29,Male,Spain,Masters,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,3-5 years, Altair ,  Scikit-learn 
18-21,Male,India,Bachelors,Student,,,,basic,I have never written code,,
22-24,Male,Greece,Masters,Student,,,,advance,< 1 years, Matplotlib ,"  Scikit-learn , PyTorch "
35-39,Male,Russia,Coursework,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,10-20 years," Matplotlib , D3.js , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost , LightGBM , Spark MLib "
22-24,Male,United States of America,Bachelors,Data Analyst,0-49 employees,No (we do not use ML methods),"60,000-69,999",basic,I have never written code,,
25-29,Other,Other,Doctoral,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,1-2 years," Matplotlib , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
40-44,Male,India,Masters,Data Engineer,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"> $500,000",advance,5-10 years," Ggplot / ggplot2 , D3.js ","  Scikit-learn ,  TensorFlow , Spark MLib "
25-29,Male,United States of America,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",advance,3-5 years, Plotly / Plotly Express ,  Scikit-learn 
25-29,Male,India,Doctoral,Student,,,,advance,< 1 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
30-34,Male,United States of America,Doctoral,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years," Ggplot / ggplot2 , Matplotlib , Shiny , Plotly / Plotly Express , Seaborn , Leaflet / Folium ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , Caret "
22-24,Male,Pakistan,Masters,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
25-29,Male,Chile,Masters,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn , LightGBM "
25-29,Male,Other,Coursework,Student,,,,advance,< 1 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
22-24,Male,India,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , PyTorch "
22-24,Male,India,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost , LightGBM "
22-24,Male,France,Masters,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years," Matplotlib , D3.js , Seaborn , Leaflet / Folium ","  Scikit-learn ,  TensorFlow , Keras "
18-21,Female,India,Bachelors,Software Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Geoplotlib ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
18-21,Male,India,Bachelors,Student,,,,intermediate,1-2 years," Matplotlib , Seaborn ",  Scikit-learn 
45-49,Male,Hong Kong (S.A.R.),Coursework,Data Analyst,"> 10,000 employees",No (we do not use ML methods),"300,000-500,000",advance,3-5 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn ,  TensorFlow "
30-34,Female,Mexico,Masters,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib ","  TensorFlow , Keras "
25-29,Male,India,Masters,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",basic,3-5 years, Ggplot / ggplot2 ,"  Scikit-learn , RandomForest, Xgboost "
50-54,Male,Spain,Doctoral,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,20+ years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , PyTorch "
18-21,Female,India,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","4,000-4,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
22-24,Male,India,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest"
25-29,Male,South Africa,Bachelors,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Shiny ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
30-34,Male,Hungary,Doctoral,Student,,,,advance,3-5 years, Matplotlib ,"  Scikit-learn , Xgboost , PyTorch , LightGBM "
30-34,Male,France,Doctoral,Research Scientist,250-999 employees,No (we do not use ML methods),"20,000-24,999",advance,I have never written code,,
40-44,Male,India,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",intermediate,3-5 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
60-69,Male,United States of America,Masters,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"100,000-124,999",intermediate,20+ years, Matplotlib ,"  TensorFlow , Keras "
